Time	SegmentThrp	EstimateThrp	Bitrate	Buffer	Data	RTT	DataTm	DelayTm
271.6	676.056338	788.177340	600	16.3	42333	0.049	1.726	1.000	
273.8	405.473898	676.056338	400	16.1	42431	0.069	1.904	0.200	
274.7	550.206327	405.473898	200	17.2	42480	0.054	0.673	0.100	
276.9	765.550239	550.206327	400	17.0	42578	0.048	0.997	1.200	
278.8	1359.003398	765.550239	600	17.1	42724	0.039	0.844	1.000	
280.7	1960.784314	1359.003398	800	17.2	42919	0.038	0.778	1.100	
283.2	1558.846454	1960.784314	1000	16.7	43164	0.039	1.244	1.200	
285.4	1574.803150	1558.846454	1200	16.5	43457	0.039	1.485	0.700	
287.0	2067.183463	1574.803150	1200	16.9	43750	0.037	1.124	0.400	
289.8	1458.333333	2067.183463	1400	16.1	44091	0.039	1.881	0.900	
291.2	1511.715797	1458.333333	1000	16.7	44335	0.041	1.282	0.000	
293.2	1804.511278	1511.715797	1200	16.7	44628	0.039	1.291	0.700	
295.3	1977.401130	1804.511278	1400	16.6	44970	0.036	1.380	0.700	
297.3	2106.847254	1977.401130	1400	16.6	45312	0.037	1.292	0.600	
299.6	1853.997683	2106.847254	1600	16.3	45703	0.038	1.688	0.600	
301.0	2524.797115	1853.997683	1400	16.9	46044	0.035	1.074	0.300	
303.4	2199.312715	2524.797115	1600	16.5	46435	0.036	1.419	0.900	
305.6	1910.447761	2199.312715	1600	16.3	46826	0.038	1.637	0.500	
307.3	1959.412176	1910.447761	1400	16.6	47167	0.036	1.393	0.300	
309.2	2208.201893	1959.412176	1400	16.7	47509	0.037	1.231	0.600	
311.0	2852.049911	2208.201893	1600	16.9	47900	0.034	1.088	0.700	
313.1	2922.077922	2852.049911	1800	16.8	48339	0.035	1.197	0.900	
315.2	3259.983700	2922.077922	2000	16.7	48828	0.033	1.194	0.800	
317.3	2999.318337	3259.983700	2200	16.6	49365	0.035	1.432	0.700	
321.9	1087.762670	2999.318337	2200	14.0	49902	0.038	4.007	0.500	
322.7	2030.456853	1087.762670	800	15.2	50097	0.036	0.752	0.000	
323.4	2762.430939	2030.456853	1000	16.5	50341	0.037	0.687	0.000	
